Census year,Block ID,Property ID,Base property ID,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Longitude,Latitude
2022,25,101788,101788,Melbourne (CBD),Ezymart,"Shop 1, Centre Place MELBOURNE VIC 3000",4111,Convenience Store,144.96547439875002,-37.81664451891887
2022,25,102086,102086,Melbourne (CBD),Woolworths Metro Elizabeth St,"Part Shop 4, Ground 62 Elizabeth Street MELBOURNE VIC 3000",4110,Supermarket and Grocery Stores,144.96497351275002,-37.81654781240799
2022,25,109264,109264,Melbourne (CBD),Tropicana Juice Bar Swanston,Part Ground 61 Swanston Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.96662326245,-37.81632686333168
2022,25,109265,109265,Melbourne (CBD),Ezymart Swanston Street,65 Swanston Street MELBOURNE VIC 3000,4111,Convenience Store,144.96653060483894,-37.81612998995
2022,27,103968,103968,Melbourne (CBD),Select 7,74 Flinders Lane MELBOURNE VIC 3000,4111,Convenience Store,144.9715754974218,-37.81501688045
2022,28,102063,102060,Melbourne (CBD),The Chocolate Box,"Shop 24, 45 Collins Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.97262557265284,-37.81430518125
2022,31,108968,108968,Melbourne (CBD),Apna Desi Indian Grocery,"Shop 1, 625 Little Collins Street MELBOURNE VIC 3000",4110,Supermarket and Grocery Stores,144.95436479768804,-37.81818416285
2022,32,102119,102119,Melbourne (CBD),IGA Xpress Collins,"Shop 3, Ground 470 Collins Street MELBOURNE VIC 3000",4110,Supermarket and Grocery Stores,144.95833374129745,-37.81753764475
2022,4,103972,103972,Melbourne (CBD),EzyMart,Part Vault 10 379-381 Flinders Street MELBOURNE VIC 3000,4111,Convenience Store,144.9622978015492,-37.81951074765
2022,12,105399,105399,Melbourne (CBD),7-Eleven,Part Ground 26 King Street MELBOURNE VIC 3000,4111,Convenience Store,144.95746565053372,-37.81952905265
2022,14,103165,103165,Melbourne (CBD),7-Eleven,"Unit 2, Ground 1 Elizabeth Street MELBOURNE VIC 3000",4111,Convenience Store,144.96460797480603,-37.8180566348
2022,15,104010,104010,Melbourne (CBD),Flinders St Woolworths,Part 262 Flinders Street MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.96562559534638,-37.8176073857
2022,15,104011,104011,Melbourne (CBD),Select market,254 Flinders Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.9659971438,-37.81751937795824
2022,23,108062,108062,Melbourne (CBD),Nutrition Warehouse Pty Ltd,Part Ground 43-51 Queen Street MELBOURNE VIC 3000,4129,Other Specialised Food Retailing,144.96161430864498,-37.8177382696
2022,24,108113,108113,Melbourne (CBD),7-Eleven,"Shop 1, Ground 50 Queen Street MELBOURNE VIC 3000",4111,Convenience Store,144.96218857225,-37.81758582722897
2022,33,108064,108064,Melbourne (CBD),IGA Express,Ground 85 Queen Street MELBOURNE VIC 3000,4110,Supermarket and Grocery Stores,144.96102193282508,-37.8164972607
2022,34,102133,102133,Melbourne (CBD),Woolworths Metro Little Collins Street,"Shop 1-2, 360 Collins Street MELBOURNE VIC 3000",4110,Supermarket and Grocery Stores,144.9621709685,-37.81616893999539
2022,35,102141,102141,Melbourne (CBD),Gewurzhaus,"Shop 26, Block Arcade MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.96434075395388,-37.81552770375
2022,31,102109,102109,Melbourne (CBD),7 Eleven Store 1237w,88 Spencer Street MELBOURNE VIC 3000,4111,Convenience Store,144.95435075675,-37.81867521100554
2022,31,102112,102112,Melbourne (CBD),Breadtop,"Shop 1, 576 Collins Street MELBOURNE VIC 3000",4129,Other Specialised Food Retailing,144.95542417545,-37.81836589576574
2022,264,661677,644815,Carlton,Ezy Mart,"Shop 1, 555 Swanston Street CARLTON VIC 3053",4111,Convenience Store,144.96252240979845,-37.80570095655
2022,345,103418,103418,North Melbourne,Jean Greenie Pty Ltd,79 Errol Street NORTH MELBOURNE VIC 3051,4110,Supermarket and Grocery Stores,144.94927961445387,-37.8032762005
2022,354,108125,108125,North Melbourne,Roasting Warehouse Pty Ltd,3 Raglan Street NORTH MELBOURNE VIC 3051,3609,Other Grocery Wholesaling,144.95044166415,-37.80446348025063
2022,357,105977,105977,North Melbourne,Small Batch Roasting Co Pty Ltd,3-9 Little Howard Street NORTH MELBOURNE VIC 3051,3609,Other Grocery Wholesaling,144.9544341870062,-37.804360311
2022,358,109827,109827,North Melbourne,Simply Express Convenience Store,322 Victoria Street NORTH MELBOURNE VIC 3051,4110,Supermarket and Grocery Stores,144.9554945026,-37.80560869765101
2022,359,572114,572114,North Melbourne,Excel Food Mart,136 Peel Street NORTH MELBOURNE VIC 3051,4111,Convenience Store,144.9564949124979,-37.8047712434
2022,360,506302,506302,North Melbourne,Bean Shoots,11 Cobden Street NORTH MELBOURNE VIC 3051,3609,Other Grocery Wholesaling,144.95691166048368,-37.8053429171
2022,376,103811,103811,North Melbourne,Lucky Asia Supermarket,29 Blackwood Street NORTH MELBOURNE VIC 3051,4110,Supermarket and Grocery Stores,144.9551774613426,-37.80067720135
2022,376,103813,103813,North Melbourne,7-Eleven,39-45 Flemington Road NORTH MELBOURNE VIC 3051,4111,Convenience Store,144.9549762655968,-37.800150084950005
2022,444,705840,100852,West Melbourne (Residential),Super Convenience & Liquor,111 Batman Street WEST MELBOURNE VIC 3003,4111,Convenience Store,144.94991262279348,-37.81159413015
2022,503,632307,109449,Kensington,Savour And Grace,73-75 McClure Road KENSINGTON VIC 3031,4129,Other Specialised Food Retailing,144.92990028836095,-37.7996034328
2022,506,105423,105423,North Melbourne,Olsson's Pacific Salt,Part 63-119 Langford Street NORTH MELBOURNE VIC 3051,3609,Other Grocery Wholesaling,144.9366307691,-37.79740656545931
